SHEET: Utang Business
Shape: 1000 rows x 12 columns

                               0                    1               2              3                 4                        5                        6           7                    8                    9                           10                                11
99                            NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
100                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
101                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
102                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
103                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
104                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
105                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
106                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
107                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
108                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
109                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
110                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
111                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
112                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
113                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
114                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
115                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
116                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
117                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
118                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
119                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
120                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
121                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
122                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
123                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
124                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
125                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
126                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
127                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
128                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
129                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
130                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
131                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
132                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
133                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
134                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
135                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
136                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
137                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
138                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
139                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
140                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
141                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
142                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
143                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
144                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
145                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
146                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
147                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
148                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
149                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
150                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
151                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
152                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
153                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
154                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
155                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
156                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
157                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
158                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
159                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
160                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
161                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
162                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
163                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
164                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
165                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
